Name,Playing Role,Reserve Price (in ₹ Lacs),IPL 2018 Team,Auctioned Price (in ₹ Lacs)
Vijay Shankar,All-Rounder,40,Delhi Daredevils,320
Harshal Patel,All-Rounder,20,Delhi Daredevils,20
Kamlesh Nagarkoti,All-Rounder,20,Kolkata Knight Riders,320
Krunal Pandya,All-Rounder,40,Mumbai Indians[RTM],880
Nitish Rana,All-Rounder,20,Kolkata Knight Riders,340
D'Arcy Short,All-Rounder,20,Rajasthan Royals,400
Jofra Archer,All-Rounder,40,Rajasthan Royals,720
Ishan Kishan,Wicketkeeper,40,Mumbai Indians,620
Kulwant Khejroliya,Bowler,20,Royal Challengers Bangalore,85
Siddharth Kaul,Bowler,30,Sunrisers Hyderabad,380
T Natarajan,Bowler,40,Sunrisers Hyderabad,40
Basil Thampi,Bowler,30,Sunrisers Hyderabad,95
Aniket Choudhary,Bowler,30,Royal Challengers Bangalore,30
Khaleel Ahmed,Bowler,20,Sunrisers Hyderabad,300
Navdeep Saini,Bowler,20,Royal Challengers Bangalore,300
Avesh Khan,Bowler,20,Delhi Daredevils,70
Ankit Rajpoot,Bowler,30,Kings XI Punjab,300
Rahul Chahar,Bowler,20,Mumbai Indians,190
Shahbaz Nadeem,Bowler,40,Delhi Daredevils,320
Krishnappa Gowtham,Bowler,20,Rajasthan Royals,620
Murugan Ashwin,Bowler,20,Royal Challengers Bangalore,220
Evin Lewis,Batsman,150,Mumbai Indians,380
Saurabh Tiwary,Batsman,50,Mumbai Indians,80
Mandeep Singh,Batsman,50,Royal Challengers Bangalore,140
Manoj Tiwary,Batsman,50,Kings XI Punjab,100
Washington Sundar,All-Rounder,150,Royal Challengers Bangalore,320
Pawan Negi,All-Rounder,50,Royal Challengers Bangalore [RTM],100
Daniel Christian,All-Rounder,100,Delhi Daredevils,150
Jayant Yadav,All-Rounder,50,Delhi Daredevils,50
Gurkeerat Singh,All-Rounder,50,Delhi Daredevils,75
Ben Cutting,All-Rounder,100,Mumbai Indians,220
Mohammad Nabi,All-Rounder,50,Sunrisers Hyderabad,100
Dhawal Kulkarni,Bowler,50,Rajasthan Royals[RTM],75
Mohit Sharma,Bowler,150,Kings XI Punjab[RTM],240
Sandeep Sharma,Bowler,50,Sunrisers Hyderabad,300
Vinay Kumar,Bowler,100,Kolkata Knight Riders,100
Mohammed Siraj,Bowler,100,Royal Challengers Bangalore,260
Nathan Coulter-Nile,Bowler,150,Royal Challengers Bangalore,220
Jaydev Unadkat,Bowler,150,Rajasthan Royals,1150
Trent Boult,Bowler,150,Delhi Daredevils,220
Shardul Thakur,Bowler,75,Chennai Super Kings,260
Mujeeb Zadran,Bowler,50,Kings XI Punjab,400
Apoorv Wankhade,Batsman,20,Kolkata Knight Riders,20
Rinku Singh,Batsman,20,Kolkata Knight Riders,80
Sachin Baby,Batsman,20,Sunrisers Hyderabad,20
Manjot Kalra,Batsman,20,Delhi Daredevils,20
Ankit Sharma,All-Rounder,20,Rajasthan Royals,20
Shivam Mavi,All-Rounder,20,Kolkata Knight Riders,300
Abhishek Sharma[1],All-Rounder,20,Delhi Daredevils,55
Pradeep Sangwan,Bowler,30,Mumbai Indians,150
Anureet Singh,Bowler,30,Rajasthan Royals,30
Narayan Jagadeesan,Wicketkeeper,20,Chennai Super Kings,20
Zahir Khan Pakteen,Bowler,20,Rajasthan Royals,60
Jean-Paul Duminy,All-Rounder,100,Mumbai Indians,100
Chris Jordan,All-Rounder,100,Sunrisers Hyderabad,100
Mitchell Santner,All-Rounder,50,Chennai Super Kings,50
Jason Behrendorff,Bowler,100,Mumbai Indians,150
Barinder Sran,Bowler,50,Kings XI Punjab,220
Billy Stanlake,Bowler,50,Sunrisers Hyderabad,50
Andrew Tye,Bowler,100,Kings XI Punjab,720
Tanmay Agarwal,Batsman,20,Sunrisers Hyderabad,20
Deepak Chahar,All-Rounder,20,Chennai Super Kings,80
Cameron Delport,All-Rounder,30,Kolkata Knight Riders,30
Tajinder Singh,All-Rounder,20,Mumbai Indians,55
Shreyas Gopal,All-Rounder,20,Rajasthan Royals,20
Akshdeep Nath,All-Rounder,20,Kings XI Punjab,100
Shreevats Goswami,Wicketkeeper,20,Sunrisers Hyderabad,100
Ben Dwarshuis,Bowler,20,Kings XI Punjab,140
KM Asif,Bowler,20,Chennai Super Kings,40
Sandeep Lamichhane,Bowler,20,Delhi Daredevils,20
Lungisani Ngidi,Bowler,50,Chennai Super Kings,50
Sharad Lumba,Batsman,20,Mumbai Indians,20
Kanishk Seth,All-Rounder,20,Chennai Super Kings,20
Dhruv Shorey,All-Rounder,20,Chennai Super Kings,20
Aniruddha Joshi,All-Rounder,20,Royal Challengers Bangalore,20
Sudhesan Midhun,All-Rounder,20,Rajasthan Royals,20
Murali Vijay[REC-1],Batsman,200,Chennai Super Kings,200
Sam Billings[REC-1],Wicketkeeper,100,Chennai Super Kings,100
Naman Ojha[REC-1],Wicketkeeper,75,Delhi Daredevils,140
Parthiv Patel[REC-1],Wicketkeeper,100,Royal Challengers Bangalore,170
Mitchell Johnson[REC-1],Bowler,200,Kolkata Knight Riders,200
Tim Southee[REC-1],Bowler,100,Royal Challengers Bangalore,100
Siddhesh Lad[REC-1],Batsman,20,Mumbai Indians,20
Prashant Chopra[REC-1],Wicketkeeper,20,Rajasthan Royals,20
Aditya Tare[REC-1],Wicketkeeper,20,Mumbai Indians,20
Bipul Sharma[REC-1],All-Rounder,20,Sunrisers Hyderabad,20
Sayan Ghosh[REC-1],Bowler,20,Delhi Daredevils,20
Mayank Markande[REC-1],Bowler,20,Mumbai Indians,20
Ben Laughlin[REC-1],Bowler,50,Rajasthan Royals,50
Akila Dananjaya[DI-REC-1],Bowler,50,Mumbai Indians,50
Pardeep Sahu[DI-REC-1],Bowler,20,Kings XI Punjab,20
Mayank Dagar[REC-1],All-Rounder,20,Kings XI Punjab,20
Anukul Roy[REC-1],All-Rounder,20,Mumbai Indians,20
Mark Wood[REC-1],Bowler,150,Chennai Super Kings,150
Mahipal Lomror[DI-REC-1],All-Rounder,20,Rajasthan Royals,20
Mohsin Khan[DI-REC-1],Bowler,20,Mumbai Indians,20
Mehdi Hasan[REC-1],All-Rounder,20,Sunrisers Hyderabad,20
Kshitiz Sharma[REC-1],All-Rounder,20,Chennai Super Kings,20
Monu Kumar[REC-1],Bowler,20,Chennai Super Kings,20
Chaitanya Bishnoi[DI-REC-1],All-Rounder,20,Chennai Super Kings,20
Jatin Saxena[DI-REC-1],All-Rounder,20,Rajasthan Royals,20
Aryaman Birla[REC-1],All-Rounder,20,Rajasthan Royals,30
Pavan Deshpande[DI-REC-1],All-Rounder,20,Royal Challengers Bangalore,20
Chris Gayle[REC-1&2],Batsman,200,Kings XI Punjab,200
Dushmantha Chameera[REC-1&2],Bowler,50,Rajasthan Royals,50
M. D. Nidheesh[DI-REC-1&2],Bowler,20,Mumbai Indians,20
Manzoor Dar[DI-REC-2],All-Rounder,20,Kings XI Punjab,20
Javon Searles[DI-REC-2],All-Rounder,30,Kolkata Knight Riders,30
